1663890428.395848 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:50631 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,756ms,0) uid:20001 ino:6826025 sk:39f7 1663890428.395866 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
1663890428.395881 mptcp ESTAB    0      58424           192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,276ms,0) uid:20001 ino:6826025 sk:39f4 1663890428.395892 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1100000024 rcv_nxt:200000002                                                                                                                                                                                                                                                                                                    
1663890428.395927 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:35557 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,756ms,0) uid:20001 ino:6826025 sk:39f8 1663890428.395940 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
1663890428.395976 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:35957 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,564ms,0) uid:20001 ino:6826024 sk:39f5 1663890428.395990 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
1663890428.396004 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:48205 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,752ms,0) uid:20001 ino:6826025 sk:39f9 1663890428.396018 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
1663890428.396061 mptcp ESTAB    0      52704           192.168.10.2:47416 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,252ms,0) uid:20001 ino:6826024 sk:39f2 1663890428.396072 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:e00000026 rcv_nxt:300000003                                                                                                                                                                                                                                                                                                     
1663890428.396084 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:43761 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,564ms,0) uid:20001 ino:6826024 sk:39f6 1663890428.396097 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
1663890428.540663 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:48401 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,428ms,0) uid:20001 ino:6826024 sk:39f3 1663890428.540733 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130352 lastrcv:61130352 lastack:61130352 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890428.540779 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:50631 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,616ms,0) uid:20001 ino:6826025 sk:39f7 1663890428.540791 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130352 lastrcv:61130352 lastack:61130352 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890428.540807 tcp   ESTAB    0      54264           192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,268ms,0) uid:20001 ino:6826025 sk:39f4 1663890428.540822 	 ts sack pcc wscale:7,7 rto:268 rtt:61.321/0.629 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:42 bytes_sent:200581 bytes_retrans:17048 bytes_acked:134270 segs_out:149 segs_in:55 data_segs_out:146 send 7824530bps lastsnd:4 lastrcv:568 pacing_rate 4000000bps delivery_rate 3825728bps delivered:113 busy:568ms unacked:36 retrans:2/12 lost:2 sacked:14 rcv_space:14280 rcv_ssthresh:64108 notsent:5000 minrtt:60       
1663890428.540862 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:35557 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,616ms,0) uid:20001 ino:6826025 sk:39f8 1663890428.540874 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130352 lastrcv:61130352 lastack:61130352 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890428.540914 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35957 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,424ms,0) uid:20001 ino:6826024 sk:39f5 1663890428.540928 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130356 lastrcv:61130356 lastack:61130356 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890428.540942 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:48205 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,612ms,0) uid:20001 ino:6826025 sk:39f9 1663890428.540955 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130356 lastrcv:61130356 lastack:61130356 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890428.540997 tcp   ESTAB    0      50200           192.168.10.2:47416 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,256ms,0) uid:20001 ino:6826024 sk:39f2 1663890428.541011 	 ts sack pcc wscale:7,7 rto:264 rtt:61.03/1.01 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:42 bytes_sent:202901 bytes_retrans:20080 bytes_acked:138334 segs_out:150 segs_in:54 data_segs_out:147 send 7861838bps lastsnd:4 lastrcv:636 lastack:8 pacing_rate 4000000bps delivery_rate 1492448bps delivered:109 busy:508ms unacked:32 retrans:6/15 lost:6 sacked:8 rcv_space:14280 rcv_ssthresh:64108 notsent:5712 minrtt:60
1663890428.541025 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:43761 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,424ms,0) uid:20001 ino:6826024 sk:39f6 1663890428.541037 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130356 lastrcv:61130356 lastack:61130356 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890428.541049 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:48401 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,420ms,0) uid:20001 ino:6826024 sk:39f3 1663890428.541062 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                    
1663890428.541107 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:50631 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,608ms,0) uid:20001 ino:6826025 sk:39f7 1663890428.541122 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                    
1663890428.541136 mptcp ESTAB    0      54264           192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,264ms,0) uid:20001 ino:6826025 sk:39f4 1663890428.541149 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:f00000028 rcv_nxt:200000002                                                                                                                                                                                                                                                                                                               
1663890428.541190 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:35557 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,608ms,0) uid:20001 ino:6826025 sk:39f8 1663890428.541203 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                    
