1663890344.551099 tcp   ESTAB    0      47124           192.168.10.2:47344 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,316ms,0) uid:20001 ino:6576998 sk:39be 1663890344.551110 	 ts sack olia wscale:7,7 rto:332 rtt:63.108/3.76 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:13 ssthresh:13 bytes_sent:85717 bytes_retrans:5712 bytes_acked:32882 segs_out:64 segs_in:22 data_segs_out:61 send 2353299bps lastsnd:16 lastrcv:388 lastack:16 pacing_rate 7168480bps delivery_rate 4062784bps delivered:47 busy:388ms unacked:33 retrans:4/4 lost:4 sacked:22 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.274
1663890344.551121 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:59695 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,860ms,0) uid:20001 ino:6576998 sk:39c4 1663890344.551134 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046364 lastrcv:61046364 lastack:61046364 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890344.551170 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:37039 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,736ms,0) uid:20001 ino:6576999 sk:39c1 1663890344.551180 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046364 lastrcv:61046364 lastack:61046364 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890344.551215 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:59317 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,732ms,0) uid:20001 ino:6576999 sk:39bf 1663890344.551228 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                     
1663890344.551242 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:41995 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,856ms,0) uid:20001 ino:6576998 sk:39c2 1663890344.551255 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                     
1663890344.551269 mptcp ESTAB    0      21420           192.168.10.2:47346 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,244ms,0) uid:20001 ino:6576999 sk:39bd 1663890344.551282 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:c0000000f rcv_nxt:100000001                                                                                                                                                                                                                                                                                                                
1663890344.551296 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:45637 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,856ms,0) uid:20001 ino:6576998 sk:39c3 1663890344.551307 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                     
1663890344.551320 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:45563 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,732ms,0) uid:20001 ino:6576999 sk:39c0 1663890344.551333 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                     
1663890344.551345 mptcp ESTAB    0      49980           192.168.10.2:47344 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,328ms,0) uid:20001 ino:6576998 sk:39be 1663890344.551356 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1800000023 rcv_nxt:400000004                                                                                                                                                                                                                                                                                                               
1663890344.551368 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:59695 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,856ms,0) uid:20001 ino:6576998 sk:39c4 1663890344.551382 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                     
