1663890069.790598 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:41661 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,688ms,0) uid:20001 ino:6220694 sk:3912 1663890069.790610 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771604 lastrcv:60771604 lastack:60771604 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                              
1663890069.790650 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:59011 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,688ms,0) uid:20001 ino:6220694 sk:3913 1663890069.790664 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771604 lastrcv:60771604 lastack:60771604 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                              
1663890069.790679 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:40071 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,448ms,0) uid:20001 ino:6220695 sk:390e 1663890069.790691 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771604 lastrcv:60771604 lastack:60771604 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                              
1663890069.790761 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,448ms,0) uid:20001 ino:6220695 sk:390f 1663890069.790774 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771604 lastrcv:60771604 lastack:60771604 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                              
1663890069.790786 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:37623 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,448ms,0) uid:20001 ino:6220695 sk:3910 1663890069.790799 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771604 lastrcv:60771604 lastack:60771604 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                              
1663890069.790814 mptcp ESTAB    0      39984           192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,128ms,0) uid:20001 ino:6220695 sk:390c 1663890069.790828 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1c                                                                                                                                                                                                                                                                                                                                   
1663890069.790841 mptcp ESTAB    0      12852           192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,124ms,0) uid:20001 ino:6220694 sk:390d 1663890069.790855 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:9                                                                                                                                                                                                                                                                                                                                    
1663890069.790869 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:35527 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,684ms,0) uid:20001 ino:6220694 sk:3911 1663890069.790886 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                             
1663890069.790929 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:41661 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,684ms,0) uid:20001 ino:6220694 sk:3912 1663890069.790943 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                             
1663890069.790978 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:59011 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,684ms,0) uid:20001 ino:6220694 sk:3913 1663890069.790990 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                             
1663890069.791003 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:40071 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,444ms,0) uid:20001 ino:6220695 sk:390e 1663890069.791019 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                             
1663890069.791088 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,440ms,0) uid:20001 ino:6220695 sk:390f 1663890069.791102 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                             
1663890069.791116 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:37623 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,440ms,0) uid:20001 ino:6220695 sk:3910 1663890069.791130 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                             
1663890069.935484 tcp   ESTAB    0      54264           192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,240ms,0) uid:20001 ino:6220695 sk:390c 1663890069.935553 	 ts sack reno wscale:7,7 rto:264 rtt:60.295/0.036 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:18 ssthresh:14 bytes_sent:224233 bytes_retrans:2856 bytes_acked:167114 segs_out:161 segs_in:76 data_segs_out:158 send 3410432bps lastsnd:24 lastrcv:756 lastack:24 pacing_rate 8639736bps delivery_rate 5104976bps delivered:140 busy:452ms unacked:38 retrans:2/2 lost:2 sacked:21 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.126
1663890069.935572 tcp   ESTAB    0      15708           192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,108ms,0) uid:20001 ino:6220694 sk:390d 1663890069.935584 	 ts sack reno wscale:7,7 rto:264 rtt:63.972/6.44 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:11 ssthresh:5 bytes_sent:85754 bytes_retrans:37 bytes_acked:70010 segs_out:65 segs_in:27 data_segs_out:62 send 1964359bps lastsnd:28 lastrcv:820 lastack:28 pacing_rate 2357192bps delivery_rate 1889944bps delivered:51 busy:756ms unacked:11 retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.17                           
