1663210401.451140 tcp   ESTAB    0      339864 192.168.20.2%enp6s0f1:54947 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,076ms,0) uid:20001 ino:1116166 sk:218d 1663210401.451150 	 ts sack olia wscale:7,7 rto:236 rtt:33.542/1.888 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:238 bytes_sent:654652 bytes_acked:323357 segs_out:462 segs_in:90 data_segs_out:460 send 81059925bps lastrcv:192 pacing_rate 162116824bps delivery_rate 36760392bps delivered:229 busy:164ms unacked:232 rcv_space:14280 rcv_ssthresh:64108 notsent:8568 minrtt:30.119                                              
1663210401.451161 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:35853 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,744ms,0) uid:20001 ino:1116165 sk:218e 1663210401.451172 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993468 lastrcv:14993468 lastack:14993468 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                           
1663210401.451185 mptcp ESTAB    0      245616          192.168.10.2:34608 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,072ms,0) uid:20001 ino:1116166 sk:2187 1663210401.451198 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:aa                                                                                                                                                                                                                                                                                                                                                
1663210401.451234 mptcp ESTAB    0      458652          192.168.10.2:34606 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,080ms,0) uid:20001 ino:1116165 sk:2188 1663210401.451250 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:13b                                                                                                                                                                                                                                                                                                                                               
1663210401.451264 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:35489 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,768ms,0) uid:20001 ino:1116166 sk:2189 1663210401.451278 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
1663210401.451341 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:41075 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,768ms,0) uid:20001 ino:1116166 sk:218a 1663210401.451356 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
1663210401.451396 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:46273 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,736ms,0) uid:20001 ino:1116165 sk:218b 1663210401.451406 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
1663210401.451419 mptcp ESTAB    0      378420 192.168.20.2%enp6s0f1:52913 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,084ms,0) uid:20001 ino:1116165 sk:218c 1663210401.451433 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:109                                                                                                                                                                                                                                                                                                                                               
1663210401.451447 mptcp ESTAB    0      358428 192.168.20.2%enp6s0f1:54947 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,076ms,0) uid:20001 ino:1116166 sk:218d 1663210401.451459 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:f5                                                                                                                                                                                                                                                                                                                                                
1663210401.451469 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:35853 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,736ms,0) uid:20001 ino:1116165 sk:218e 1663210401.451482 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
1663210401.598774 tcp   ESTAB    0      466956          192.168.10.2:34608 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,256ms,0) uid:20001 ino:1116166 sk:2187 1663210401.598855 	 ts sack olia wscale:7,7 rto:256 rtt:52.113/6.113 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:172 ssthresh:172 bytes_sent:1330305 bytes_retrans:242760 bytes_acked:660574 segs_out:940 segs_in:153 data_segs_out:937 send 37705141bps lastrcv:396 pacing_rate 77339192bps delivery_rate 23977344bps delivered:596 busy:364ms sndbuf_limited:196ms(53.8%) unacked:299 retrans:129/170 lost:129 sacked:127 rcv_space:14280 rcv_ssthresh:64108 notsent:39984 minrtt:30.21
1663210401.598898 tcp   ESTAB    0      995316          192.168.10.2:34606 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,252ms,0) uid:20001 ino:1116165 sk:2188 1663210401.598908 	 ts sack olia wscale:7,7 rto:260 rtt:56.504/2.459 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:338 ssthresh:338 bytes_sent:2490449 bytes_retrans:491232 bytes_acked:1092438 segs_out:1759 segs_in:222 data_segs_out:1756 send 68336967bps lastsnd:8 lastrcv:432 lastack:8 pacing_rate 153090640bps delivery_rate 52171232bps delivered:1075 busy:368ms unacked:635 retrans:292/344 lost:292 sacked:297 rcv_space:14280 rcv_ssthresh:64108 notsent:88536 minrtt:30.1    
1663210401.598919 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:35489 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,632ms,0) uid:20001 ino:1116166 sk:2189 1663210401.598929 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993612 lastrcv:14993612 lastack:14993612 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                
1663210401.598990 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:41075 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,632ms,0) uid:20001 ino:1116166 sk:218a 1663210401.599000 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993612 lastrcv:14993612 lastack:14993612 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                
1663210401.599036 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:46273 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,600ms,0) uid:20001 ino:1116165 sk:218b 1663210401.599047 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993612 lastrcv:14993612 lastack:14993612 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                
1663210401.599057 tcp   ESTAB    0      719712 192.168.20.2%enp6s0f1:52913 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,248ms,0) uid:20001 ino:1116165 sk:218c 1663210401.599070 	 ts sack olia wscale:7,7 rto:256 rtt:55.851/2.425 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:260 ssthresh:260 bytes_sent:1953524 bytes_retrans:366996 bytes_acked:905373 segs_out:1379 segs_in:206 data_segs_out:1377 send 53181501bps lastsnd:8 lastrcv:368 lastack:8 pacing_rate 116588904bps delivery_rate 37873304bps delivered:861 busy:336ms unacked:477 retrans:200/257 lost:200 sacked:217 rcv_space:14280 rcv_ssthresh:64108 notsent:38556 minrtt:30.194    
1663210401.599081 tcp   ESTAB    0      655452 192.168.20.2%enp6s0f1:54947 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,248ms,0) uid:20001 ino:1116166 sk:218d 1663210401.599092 	 ts sack olia wscale:7,7 rto:248 rtt:46.973/4.683 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:252 ssthresh:256 bytes_sent:1905580 bytes_retrans:394128 bytes_acked:856001 segs_out:1338 segs_in:177 data_segs_out:1336 send 61287293bps lastrcv:336 pacing_rate 132789128bps delivery_rate 30131120bps delivered:809 busy:308ms unacked:459 retrans:206/276 lost:206 sacked:207 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.119                                      
1663210401.599105 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:35853 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,600ms,0) uid:20001 ino:1116165 sk:218e 1663210401.599116 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993612 lastrcv:14993612 lastack:14993612 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                
1663210401.599127 mptcp ESTAB    0      424116          192.168.10.2:34608 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,252ms,0) uid:20001 ino:1116166 sk:2187 1663210401.599138 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:730000011f rcv_nxt:6f0000006f                                                                                                                                                                                                                                                                                                                                                        
1663210401.599178 mptcp ESTAB    0      862512          192.168.10.2:34606 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,248ms,0) uid:20001 ino:1116165 sk:2188 1663210401.599188 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:f200000244 rcv_nxt:fe000000fe                                                                                                                                                                                                                                                                                                                                                        
1663210401.599202 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:35489 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,628ms,0) uid:20001 ino:1116166 sk:2189 1663210401.599213 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                               
1663210401.599274 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:41075 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,628ms,0) uid:20001 ino:1116166 sk:218a 1663210401.599287 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                               
1663210401.599325 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:46273 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,596ms,0) uid:20001 ino:1116165 sk:218b 1663210401.599337 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                               
1663210401.599347 mptcp ESTAB    0      679728 192.168.20.2%enp6s0f1:52913 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,256ms,0) uid:20001 ino:1116165 sk:218c 1663210401.599361 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:c7000001cb rcv_nxt:be000000be                                                                                                                                                                                                                                                                                                                                                        
1663210401.599376 mptcp ESTAB    0      626892 192.168.20.2%enp6s0f1:54947 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,244ms,0) uid:20001 ino:1116166 sk:218d 1663210401.599390 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:b7000001b7 rcv_nxt:b4000000b4                                                                                                                                                                                                                                                                                                                                                        
1663210401.599405 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:35853 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,596ms,0) uid:20001 ino:1116165 sk:218e 1663210401.599416 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                               
1663210401.747250 tcp   ESTAB    0      122808          192.168.10.2:34608 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,076ms,0) uid:20001 ino:1116166 sk:2187 1663210401.747325 	 ts sack olia wscale:7,7 rto:236 rtt:32.311/0.93 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:86 ssthresh:86 bytes_sent:1772985 bytes_retrans:258468 bytes_acked:1391710 segs_out:1250 segs_in:239 data_segs_out:1247 send 30406487bps lastrcv:544 pacing_rate 36487640bps delivery_rate 16895872bps delivered:981 busy:512ms sndbuf_limited:344ms(67.2%) unacked:86 retrans:0/181 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.21                                           
1663210401.747368 tcp   ESTAB    0      705432          192.168.10.2:34606 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,248ms,0) uid:20001 ino:1116165 sk:2188 1663210401.747379 	 ts sack olia wscale:7,7 rto:260 rtt:57.407/4.784 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:169 ssthresh:169 bytes_sent:3434357 bytes_retrans:508368 bytes_acked:2220558 segs_out:2420 segs_in:337 data_segs_out:2417 send 33631021bps lastsnd:12 lastrcv:580 lastack:12 pacing_rate 117250616bps delivery_rate 60744480bps delivered:1893 busy:516ms sndbuf_limited:32ms(6.2%) unacked:494 retrans:6/356 lost:6 sacked:325 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.1
1663210401.747396 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:35489 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,484ms,0) uid:20001 ino:1116166 sk:2189 1663210401.747410 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993760 lastrcv:14993760 lastack:14993760 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                      
1663210401.747474 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:41075 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,484ms,0) uid:20001 ino:1116166 sk:218a 1663210401.747485 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993760 lastrcv:14993760 lastack:14993760 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                      
1663210401.747517 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:46273 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,452ms,0) uid:20001 ino:1116165 sk:218b 1663210401.747529 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993760 lastrcv:14993760 lastack:14993760 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                      
1663210401.747543 tcp   ESTAB    0      185640 192.168.20.2%enp6s0f1:52913 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,096ms,0) uid:20001 ino:1116165 sk:218c 1663210401.747555 	 ts sack olia wscale:7,7 rto:256 rtt:54.479/12.31 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:130 ssthresh:130 bytes_sent:2540432 bytes_retrans:374136 bytes_acked:1980657 segs_out:1790 segs_in:273 data_segs_out:1788 send 27260412bps lastsnd:24 lastrcv:516 lastack:24 pacing_rate 32711968bps delivery_rate 16212008bps delivered:1397 busy:484ms sndbuf_limited:112ms(23.1%) unacked:130 retrans:0/262 rcv_space:14280 rcv_ssthresh:64108 minrtt:30                   
1663210401.747568 tcp   ESTAB    0      224196 192.168.20.2%enp6s0f1:54947 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,244ms,0) uid:20001 ino:1116166 sk:218d 1663210401.747580 	 ts sack olia wscale:7,7 rto:244 rtt:41.807/2.553 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:157 ssthresh:128 bytes_sent:2641000 bytes_retrans:434112 bytes_acked:1982693 segs_out:1853 segs_in:252 data_segs_out:1851 send 42901141bps lastrcv:484 pacing_rate 51481208bps delivery_rate 39022240bps delivered:1393 busy:456ms sndbuf_limited:144ms(31.6%) unacked:157 retrans:0/304 dsack_dups:2 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.119                        
