1663209624.456160 tcp   ESTAB    0      279888 192.168.20.2%enp6s0f1:38053 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,068ms,0) uid:20001 ino:1020569 sk:1f85 1663209624.456170 	 ts sack reno wscale:7,7 rto:240 rtt:36.824/1.763 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:196 bytes_sent:585480 bytes_acked:305593 segs_out:415 segs_in:101 data_segs_out:413 send 60805562bps lastsnd:16 lastrcv:216 lastack:16 pacing_rate 121608232bps delivery_rate 28960416bps delivered:218 busy:180ms unacked:196 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.281               
1663209624.456202 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:56959 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,784ms,0) uid:20001 ino:1020570 sk:1f86 1663209624.456212 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216472 lastrcv:14216472 lastack:14216472 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                      
1663209624.456247 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:52387 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,748ms,0) uid:20001 ino:1020569 sk:1f7f 1663209624.456261 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                     
1663209624.456305 mptcp ESTAB    0      362712          192.168.10.2:34236 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,072ms,0) uid:20001 ino:1020569 sk:1f80 1663209624.456319 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:f2                                                                                                                                                                                                                                                                                                                           
1663209624.456332 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:37833 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,744ms,0) uid:20001 ino:1020569 sk:1f81 1663209624.456343 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                     
1663209624.456353 mptcp ESTAB    0      229908 192.168.20.2%enp6s0f1:45977 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,072ms,0) uid:20001 ino:1020570 sk:1f82 1663209624.456363 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a0                                                                                                                                                                                                                                                                                                                           
1663209624.456394 mptcp ESTAB    0      202848          192.168.10.2:34238 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,068ms,0) uid:20001 ino:1020570 sk:1f83 1663209624.456404 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:8f                                                                                                                                                                                                                                                                                                                           
1663209624.456414 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:50265 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,776ms,0) uid:20001 ino:1020570 sk:1f84 1663209624.456424 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                     
1663209624.456435 mptcp ESTAB    0      299880 192.168.20.2%enp6s0f1:38053 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,080ms,0) uid:20001 ino:1020569 sk:1f85 1663209624.456449 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:ca                                                                                                                                                                                                                                                                                                                           
1663209624.456483 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:56959 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,776ms,0) uid:20001 ino:1020570 sk:1f86 1663209624.456493 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                     
