1663208385.116169 tcp   SYN-SENT 0      1               192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,984ms,0) uid:20001 ino:871592 sk:1c11 1663208385.116239 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977124 lastrcv:12977124 lastack:12977124 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663208385.562420 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:50731 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,592ms,0) uid:20001 ino:871592 sk:1c1a 1663208385.562429 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977576 lastrcv:12977576 lastack:12977576 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                 
1663208385.562463 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:51387 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,592ms,0) uid:20001 ino:871592 sk:1c1b 1663208385.562475 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977576 lastrcv:12977576 lastack:12977576 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                 
1663208385.562487 tcp   ESTAB    0      629748 192.168.20.2%enp6s0f1:39285 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,252ms,0) uid:20001 ino:871592 sk:1c1c 1663208385.562500 	 ts sack olia wscale:7,7 rto:252 rtt:48.413/2.358 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:250 ssthresh:250 bytes_sent:1913784 bytes_retrans:358428 bytes_acked:925609 segs_out:1346 segs_in:262 data_segs_out:1344 send 58992419bps lastrcv:380 pacing_rate 123459016bps delivery_rate 33023272bps delivered:844 busy:344ms unacked:441 retrans:180/251 lost:180 sacked:191 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.23                        
1663208385.562514 tcp   ESTAB    0      375564          192.168.10.2:33644 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,252ms,0) uid:20001 ino:871593 sk:1c1d 1663208385.562524 	 ts sack olia wscale:7,7 rto:252 rtt:48.625/3.6 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:161 ssthresh:161 bytes_sent:1276461 bytes_retrans:227052 bytes_acked:673846 segs_out:907 segs_in:177 data_segs_out:904 send 37825481bps lastrcv:408 pacing_rate 73582912bps delivery_rate 20878288bps delivered:585 busy:376ms sndbuf_limited:208ms(55.3%) unacked:263 retrans:105/159 lost:105 sacked:102 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.199
1663208385.562536 mptcp ESTAB    0      846804          192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,248ms,0) uid:20001 ino:871592 sk:1c16 1663208385.562547 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:f400000251 rcv_nxt:db000000db                                                                                                                                                                                                                                                                                                                                         
1663208385.562557 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:55315 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,620ms,0) uid:20001 ino:871593 sk:1c17 1663208385.562572 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                
1663208385.562659 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:49651 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,620ms,0) uid:20001 ino:871593 sk:1c18 1663208385.562672 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                
1663208385.562684 mptcp ESTAB    0      598332 192.168.20.2%enp6s0f1:53919 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,244ms,0) uid:20001 ino:871593 sk:1c19 1663208385.562696 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:99000001a3 rcv_nxt:9b0000009b                                                                                                                                                                                                                                                                                                                                         
1663208385.562707 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:50731 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,588ms,0) uid:20001 ino:871592 sk:1c1a 1663208385.562718 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                
1663208385.562754 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:51387 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,588ms,0) uid:20001 ino:871592 sk:1c1b 1663208385.562766 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                
1663208385.562778 mptcp ESTAB    0      595476 192.168.20.2%enp6s0f1:39285 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,244ms,0) uid:20001 ino:871592 sk:1c1c 1663208385.562791 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a7000001a1 rcv_nxt:9c0000009c                                                                                                                                                                                                                                                                                                                                         
1663208385.562803 mptcp ESTAB    0      375564          192.168.10.2:33644 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,248ms,0) uid:20001 ino:871593 sk:1c1d 1663208385.562816 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:6600000107 rcv_nxt:6900000069                                                                                                                                                                                                                                                                                                                                         
1663208385.710929 tcp   ESTAB    0      248472          192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,092ms,0) uid:20001 ino:871592 sk:1c16 1663208385.711008 	 ts sack olia wscale:7,7 rto:244 rtt:42.318/3.19 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:174 ssthresh:174 bytes_sent:3515509 bytes_retrans:486948 bytes_acked:2780090 segs_out:2471 segs_in:361 data_segs_out:2468 send 46972352bps lastsnd:4 lastrcv:588 lastack:4 pacing_rate 56366816bps delivery_rate 32404968bps delivered:1954 busy:524ms sndbuf_limited:112ms(21.4%) unacked:174 retrans:0/341 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.104
1663208385.711028 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:55315 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,476ms,0) uid:20001 ino:871593 sk:1c17 1663208385.711043 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977724 lastrcv:12977724 lastack:12977724 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                    
1663208385.711111 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:49651 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,476ms,0) uid:20001 ino:871593 sk:1c18 1663208385.711121 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977724 lastrcv:12977724 lastack:12977724 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                    
1663208385.711130 tcp   ESTAB    0      242760 192.168.20.2%enp6s0f1:53919 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,256ms,0) uid:20001 ino:871593 sk:1c19 1663208385.711148 	 ts sack olia wscale:7,7 rto:256 rtt:53.608/3.606 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:170 ssthresh:133 bytes_sent:2706268 bytes_retrans:396984 bytes_acked:2066525 segs_out:1904 segs_in:357 data_segs_out:1902 send 36227429bps lastrcv:492 pacing_rate 43472504bps delivery_rate 45267664bps delivered:1455 busy:464ms unacked:170 retrans:0/278 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.115                                               
1663208385.711160 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:50731 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,444ms,0) uid:20001 ino:871592 sk:1c1a 1663208385.711170 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977724 lastrcv:12977724 lastack:12977724 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                    
1663208385.711203 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:51387 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,444ms,0) uid:20001 ino:871592 sk:1c1b 1663208385.711213 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977724 lastrcv:12977724 lastack:12977724 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                    
1663208385.711227 tcp   ESTAB    0      178500 192.168.20.2%enp6s0f1:39285 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,136ms,0) uid:20001 ino:871592 sk:1c1c 1663208385.711242 	 ts sack olia wscale:7,7 rto:268 rtt:64.949/8.798 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:125 ssthresh:125 bytes_sent:2654916 bytes_retrans:361284 bytes_acked:2115133 segs_out:1865 segs_in:380 data_segs_out:1863 send 21986482bps lastsnd:4 lastrcv:528 lastack:8 pacing_rate 26383776bps delivery_rate 45828560bps delivered:1486 busy:492ms sndbuf_limited:4ms(0.8%) unacked:125 retrans:0/253 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.23   
