1663201837.859979 Connecting to host 192.168.3.1, port 5102
1663201837.860156 [  4] local 192.168.10.2 port 43896 connected to 192.168.3.1 port 5102
1663201837.860192 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663201843.113050 [  4]   9.00-9.10   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.113075 [  4]   9.10-9.20   sec  1.08 MBytes  90.5 Mbits/sec    0   14.1 KBytes       
1663201843.113101 [  4]   9.20-9.30   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.113126 [  4]   9.30-9.40   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201843.113150 [  4]   9.40-9.50   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201843.113195 [  4]   9.50-9.60   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201843.113223 [  4]   9.60-9.70   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201843.113245 [  4]   9.70-9.80   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201843.113266 [  4]   9.80-9.90   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201843.113287 [  4]   9.90-10.00  sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.113312 - - - - - - - - - - - - - - - - - - - - - - - - -
1663201843.113337 [ ID] Interval           Transfer     Bandwidth       Retr
1663201843.113368 [  4]   0.00-10.00  sec   118 MBytes  99.0 Mbits/sec    0             sender
1663201843.113393 [  4]   0.00-10.00  sec   115 MBytes  96.4 Mbits/sec                  receiver
1663201843.113418 
1663201843.113442 iperf Done.
