1663201837.859964 Connecting to host 192.168.3.1, port 5101
1663201837.860147 [  4] local 192.168.10.2 port 58018 connected to 192.168.3.1 port 5101
1663201837.860185 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663201843.112750 [  4]   8.00-8.10   sec  1.41 MBytes   119 Mbits/sec    0   14.1 KBytes       
1663201843.112775 [  4]   8.10-8.20   sec  1.23 MBytes   102 Mbits/sec    0   14.1 KBytes       
1663201843.112800 [  4]   8.20-8.30   sec   753 KBytes  61.8 Mbits/sec    0   14.1 KBytes       
1663201843.112825 [  4]   8.30-8.40   sec  1.84 MBytes   154 Mbits/sec    0   14.1 KBytes       
1663201843.112847 [  4]   8.40-8.50   sec  1004 KBytes  82.1 Mbits/sec    0   14.1 KBytes       
1663201843.112871 [  4]   8.50-8.60   sec  1.10 MBytes  92.4 Mbits/sec    0   14.1 KBytes       
1663201843.112897 [  4]   8.60-8.70   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.112922 [  4]   8.70-8.80   sec  1.16 MBytes  97.8 Mbits/sec    0   14.1 KBytes       
1663201843.112948 [  4]   8.80-8.90   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201843.112973 [  4]   8.90-9.00   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201843.112999 [  4]   9.00-9.10   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201843.113024 [  4]   9.10-9.20   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.113050 [  4]   9.20-9.30   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201843.113075 [  4]   9.30-9.40   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.113101 [  4]   9.40-9.50   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201843.113126 [  4]   9.50-9.60   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.113151 [  4]   9.60-9.70   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201843.113196 [  4]   9.70-9.80   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201843.113224 [  4]   9.80-9.90   sec  1.04 MBytes  87.5 Mbits/sec    0   14.1 KBytes       
1663201843.113250 [  4]   9.90-10.00  sec  1.41 MBytes   119 Mbits/sec    0   14.1 KBytes       
1663201843.113278 - - - - - - - - - - - - - - - - - - - - - - - - -
1663201843.113303 [ ID] Interval           Transfer     Bandwidth       Retr
1663201843.113334 [  4]   0.00-10.00  sec   111 MBytes  92.9 Mbits/sec    0             sender
1663201843.113361 [  4]   0.00-10.00  sec   108 MBytes  90.4 Mbits/sec                  receiver
1663201843.113386 
1663201843.113411 iperf Done.
