Date_and_Time,Session_Time,rate,total_rate,sequences,sent,lost,util,old_util,thpt,loss_rate
Sep 16 18:04:59,[760458.845429],1081168954,1081168954,1633445922-1634162682,495,0,33763228000,135052912,10941898,0
Sep 16 18:05:00,[760459.140147],1135227399,1135227399,1634618802-1635400722,540,0,35278846000,141115384,13120343,0
Sep 16 18:05:00,[760459.140156],1027110509,1027110509,1635400722-1636118986,496,0,32240016000,128960064,10468283,0
Sep 16 18:05:00,[760459.140166],1027110509,1027110509,1636118986-1636822458,485,0,32240016000,128960064,10668894,0
Sep 16 18:05:00,[760459.140175],1135227399,1135227399,1636822458-1637616162,548,0,35278846000,141115384,12816642,0
Sep 16 18:05:00,[760459.245010],1081506226,1081506226,1638072282-1638789042,495,0,33772708000,135090832,10848165,0
Sep 16 18:05:00,[760459.349433],1081872514,1081872514,1639245162-1639896762,450,0,33783004000,135132016,9913884,0
Sep 16 18:05:00,[760459.643843],1135966139,1135966139,1640352882-1641134802,540,0,35299504000,141198016,13142617,0
Sep 16 18:05:00,[760459.643852],1027778889,1027778889,1641134802-1641851562,495,0,32258898000,129035592,11686558,0
Sep 16 18:05:00,[760459.643861],1027778889,1027778889,1641851562-1642551738,483,0,32258898000,129035592,9594929,0
Sep 16 18:05:00,[760459.643869],1135966139,1135966139,1642551738-1643415402,596,0,35299504000,141198016,13944448,0
Sep 16 18:05:00,[760459.748741],1082265970,1082265970,1643871522-1644552098,470,0,33794060000,135176240,10276016,0
Sep 16 18:05:00,[760459.853269],1082688580,1082688580,1644947058-1645630842,472,0,33805936000,135223744,10375516,0
Sep 16 18:05:01,[760460.136548],1136823005,1136823005,1646009730-1646803722,548,0,35323468000,141293872,12928150,0
Sep 16 18:05:01,[760460.136559],1028554155,1028554155,1646803722-1647455322,450,0,32280796000,129123184,10933252,0
Sep 16 18:05:01,[760460.136568],1028554155,1028554155,1647455322-1648172082,495,0,32280796000,129123184,11866298,0
Sep 16 18:05:01,[760460.136576],1136823005,1136823005,1648172082-1648758522,405,0,35323468000,141293872,9297208,0
Sep 16 18:05:01,[760460.240843],1083138212,1083138212,1649214642-1649882354,461,0,33818572000,135274288,10169840,0
Sep 16 18:05:01,[760460.344904],1083617136,1083617136,1650276082-1650908802,436,0,33832030000,135328120,9655547,0
Sep 16 18:05:01,[760460.640788],1029436281,1029436281,1651299762-1651860082,386,0,32305712000,129222848,8849958,0
Sep 16 18:05:01,[760460.640797],1137797991,1137797991,1651860082-1652371338,353,0,35350732000,141402928,7797177,0
Sep 16 18:05:01,[760460.640806],1029436281,1029436281,1652371338-1652863602,339,0,32305712000,129222848,7552109,0
Sep 16 18:05:01,[760460.640814],1137797991,1137797991,1652863602-1653450042,405,0,35350732000,141402928,9252761,0
Sep 16 18:05:01,[760460.744605],1084122936,1084122936,1653775162-1654324706,379,0,33846240000,135384960,8424937,0
Sep 16 18:05:01,[760461.042813],1138329081,1138329081,1654622922-1655161442,371,0,35365582000,141462328,8190894,0
Sep 16 18:05:01,[760461.042822],1029916791,1029916791,1655161442-1655665482,348,0,32319282000,129277128,7979351,0
Sep 16 18:05:01,[760461.042832],1029916791,1029916791,1655665482-1656251922,405,0,32319282000,129277128,8998618,0
Sep 16 18:05:01,[760461.042841],1138329081,1138329081,1656251922-1656921482,462,0,35365582000,141462328,10216961,0
Sep 16 18:05:02,[760461.144695],1084656798,1084656798,1657381770-1658141562,524,0,33861244000,135444976,12028789,0
Sep 16 18:05:02,[760461.248618],1085220158,1085220158,1658532522-1659326186,548,0,33877068000,135508272,12183387,0
Sep 16 18:05:02,[760461.546763],1030959153,1030959153,1659773674-1660453234,469,0,32348718000,129394872,10337818,0
Sep 16 18:05:02,[760461.546775],1139481163,1139481163,1660453234-1661138922,473,0,35397796000,141591184,10855983,0
Sep 16 18:05:02,[760461.546784],1139481163,1139481163,1661138922-1661946906,558,0,35397796000,141591184,13298834,0
Sep 16 18:05:02,[760461.546799],1030959153,1030959153,1661946906-1662621802,466,0,32348718000,129394872,9658998,0
Sep 16 18:05:02,[760461.648625],1085810174,1085810174,1663054954-1663745322,476,0,33893646000,135574584,10929341,0
Sep 16 18:05:02,[760461.934183],1140100679,1140100679,1664166938-1664983362,563,0,35415116000,141660464,12917713,0
Sep 16 18:05:02,[760461.934195],1031519669,1031519669,1664983362-1665700122,495,0,32364546000,129458184,12248329,0
Sep 16 18:05:02,[760461.934205],1031519669,1031519669,1665700122-1666351722,450,0,32364546000,129458184,10889765,0
Sep 16 18:05:02,[760461.934216],1140100679,1140100679,1666351722-1667024762,464,0,35415116000,141660464,10284279,0
Sep 16 18:05:02,[760462.031534],1086428242,1086428242,1667463546-1667679850,149,0,33911010000,135644040,3683031,0
Sep 16 18:05:03,[760462.131952],1087076014,1087076014,1668045882-1668632322,405,0,33929204000,135716816,9510866,0
Sep 16 18:05:03,[760462.422969],1141429814,1141429814,1669088442-1669674882,405,0,35452270000,141809080,10018792,0
Sep 16 18:05:03,[760462.422983],1032722214,1032722214,1669674882-1670196162,360,0,32398504000,129594016,8701196,0
Sep 16 18:05:03,[760462.422992],1032722214,1032722214,1670196162-1670847762,450,0,32398504000,129594016,9219015,0
Sep 16 18:05:03,[760462.423003],1141429814,1141429814,1670847762-1671499362,450,0,35452270000,141809080,10324011,0
Sep 16 18:05:03,[760462.522175],1087750174,1087750174,1671955482-1672672242,495,0,33948142000,135792568,12106409,0
Sep 16 18:05:03,[760462.620885],1088454174,1088454174,1673063202-1673714802,450,0,33967916000,135871664,10866519,0
Sep 16 18:05:03,[760462.909913],1034031469,1034031469,1674105762-1674799050,478,0,32435468000,129741872,11043734,0
Sep 16 18:05:03,[760462.909922],1142876879,1142876879,1674799050-1675474122,466,0,35492720000,141970880,10623925,0
Sep 16 18:05:03,[760462.909931],1034031469,1034031469,1675474122-1676190882,495,0,32435468000,129741872,11292182,0
Sep 16 18:05:03,[760462.909938],1142876879,1142876879,1676190882-1676907642,495,0,35492720000,141970880,11836707,0
Sep 16 18:05:04,[760463.147823],1089184462,1089184462,1677271538-1678025986,521,0,33988428000,135953712,3789738,0
Sep 16 18:06:20,[760539.908331],1034725242,1034725242,1678385922-1678974626,406,0,32455054000,129820216,8070839,0
Sep 16 18:06:20,[760539.908340],1143643682,1143643682,1678974626-1679109202,92,0,35514152000,142056608,2115043,0
Sep 16 18:06:20,[760539.908348],1143643682,1143643682,1679109202-1679110658,1,0,35514152000,142056608,22,0
Sep 16 18:06:20,[760539.908356],1034725242,1034725242,1679110658-1679112162,1,0,32455054000,129820216,133,0
Sep 16 18:06:21,[760540.857697],1089942784,1089942784,1679112226-1679113698,1,0,34009724000,136038896,1590,0
Sep 16 18:07:41,[760621.043219],1144439919,1144439919,1679113762-1679115234,1,0,35536402000,142145608,803,0
Sep 16 18:07:41,[760621.043228],1035445649,1035445649,1679115234-1679116722,1,0,32475390000,129901560,124,0
Sep 16 18:07:41,[760621.043236],1144439919,1144439919,1679116722-1679118194,1,0,35536402000,142145608,322,0
Sep 16 18:07:41,[760621.043244],1035445649,1035445649,1679118194-1679119698,1,0,32475390000,129901560,23,0
Sep 16 18:08:01,[760641.064438],1090729136,1090729136,1679119762-1679121266,1,0,34031804000,136127216,72,0
Sep 16 18:08:03,[760642.213490],530000,530000,3993093075-3993095044,1,0,35464000,141856,5769,0
Sep 16 18:08:06,[760645.243637],1091545544,1091545544,1679121330-1679122802,1,0,34054730000,136218920,360,0
Sep 16 18:08:07,[760646.520232],470000,470000,303053202-303055171,1,0,31829250,127317,5846,0
Sep 16 18:08:11,[760650.847959],470000,470000,3013600459-3013602428,1,0,31829250,127317,5744,0
Sep 16 18:08:16,[760655.488716],530000,530000,1177213564-1177215533,1,0,35464000,141856,5750,0
Sep 16 18:08:20,[760659.914935],530000,530000,178087825-178089794,1,0,35464000,141856,5675,0
Sep 16 18:08:25,[760664.271777],470000,470000,1522839849-1522841818,1,0,31829250,127317,5811,0
Sep 16 18:08:29,[760668.771438],530000,530000,2336445759-2336447728,1,0,35464000,141856,5652,0
Sep 16 18:08:34,[760673.296265],530000,530000,1087493510-1087495479,1,0,35464000,141856,5811,0
Sep 16 18:08:38,[760677.828275],530000,530000,3483139017-3483140986,1,0,35464000,141856,5646,0
Sep 16 18:08:41,[760680.227805],1036968269,1036968269,1679122866-1679124338,1,0,32518366000,130073464,128,0
Sep 16 18:08:41,[760680.227814],1146122819,1146122819,1679124338-1679125874,1,0,35583432000,142333728,133,0
Sep 16 18:08:41,[760680.227822],1146122819,1146122819,1679125874-1679127346,1,0,35583432000,142333728,302,0
Sep 16 18:08:41,[760680.227831],1036968269,1036968269,1679127346-1679128818,1,0,32518366000,130073464,209,0
Sep 16 18:08:43,[760682.263406],530000,530000,1830108006-1830109975,1,0,35464000,141856,5713,0
Sep 16 18:08:47,[760686.907046],470000,470000,4138858172-4138860141,1,0,31829250,127317,5745,0
Sep 16 18:08:52,[760691.563823],530000,530000,3294524125-3294526094,1,0,35464000,141856,5818,0
Sep 16 18:08:56,[760695.322346],1092387944,1092387944,1679128882-1679130354,1,0,34078384000,136313536,96,0
Sep 16 18:08:56,[760696.040959],530000,530000,2948437171-2948439140,1,0,35464000,141856,5759,0
Sep 16 18:09:01,[760700.706912],470000,470000,3222988065-3222990034,1,0,31829250,127317,5657,0
Sep 16 18:09:06,[760705.202768],470000,470000,3504838290-3504840259,1,0,31829250,127317,5638,0
Sep 16 18:09:10,[760709.975466],470000,470000,2853946948-2853948917,1,0,31829250,127317,5797,0
Sep 16 18:09:12,[760711.358951],530000,530000,1822873732-1822875185,1,0,35464000,141856,936,0
Sep 16 18:09:15,[760714.578545],530000,530000,1657424923-1657426892,1,0,35464000,141856,5814,0
Sep 16 18:09:20,[760719.272823],470000,470000,351950223-351952192,1,0,31829250,127317,5750,0
Sep 16 18:09:24,[760723.931311],530000,530000,880065467-880067436,1,0,35464000,141856,5815,0
Sep 16 18:09:29,[760728.564078],470000,470000,3418774175-3418776144,1,0,31829250,127317,5790,0
Sep 16 18:09:34,[760733.360427],470000,470000,2351848666-2351850635,1,0,31829250,127317,5758,0
Sep 16 18:09:35,[760734.122564],1037768549,1037768549,1679130418-1679131874,1,0,32540952000,130163808,176,0
Sep 16 18:09:35,[760734.122574],1147007339,1147007339,1679131874-1679133362,1,0,35608144000,142432576,313,0
Sep 16 18:09:35,[760734.122583],1147007339,1147007339,1679133362-1679134834,1,0,35608144000,142432576,126,0
Sep 16 18:09:35,[760734.122592],1037768549,1037768549,1679134834-1679136338,1,0,32540952000,130163808,105,0
Sep 16 18:09:38,[760738.052395],470000,470000,4211064864-4211066833,1,0,31829250,127317,5672,0
Sep 16 18:09:43,[760742.785593],530000,530000,1919947701-1919949670,1,0,35464000,141856,5656,0
Sep 16 18:09:44,[760743.936346],1093258300,1093258300,1679136418-1679137938,1,0,34102818000,136411272,156,0
Sep 16 18:09:48,[760747.528307],530000,530000,3809735175-3809737144,1,0,35464000,141856,5715,0
Sep 16 18:09:53,[760752.199703],470000,470000,2485062197-2485064166,1,0,31829250,127317,5763,0
Sep 16 18:09:57,[760757.019353],530000,530000,139131823-139133792,1,0,35464000,141856,5709,0
Sep 16 18:10:03,[760762.493476],470000,470000,3585134445-3585136414,1,0,31829250,127317,5613,0
Sep 16 18:10:08,[760767.338028],470000,470000,3521087879-3521089848,1,0,31829250,127317,5819,0
Sep 16 18:10:11,[760770.771717],1038595385,1038595385,1679138018-1679139490,1,0,32564284000,130257136,354,0
Sep 16 18:10:11,[760770.771728],1147921215,1147921215,1679139490-1679140962,1,0,35633676000,142534704,143,0
Sep 16 18:10:11,[760770.771736],1038595385,1038595385,1679140962-1679142434,1,0,32564284000,130257136,224,0
Sep 16 18:10:11,[760770.771744],1147921215,1147921215,1679142434-1679143922,1,0,35633676000,142534704,252,0
Sep 16 18:10:12,[760772.068977],470000,470000,745018813-745020782,1,0,31829250,127317,5657,0
Sep 16 18:10:17,[760776.132546],1094156668,1094156668,1679144018-1679145506,1,0,34128036000,136512144,287,0
Sep 16 18:10:17,[760776.829104],470000,470000,3579256375-3579258344,1,0,31829250,127317,5664,0
Sep 16 18:10:22,[760781.596939],530000,530000,482227034-482229003,1,0,35464000,141856,5626,0
Sep 16 18:10:27,[760786.327414],470000,470000,122778902-122780871,1,0,31829250,127317,5742,0
Sep 16 18:10:31,[760791.027714],530000,530000,3663946038-3663948007,1,0,35464000,141856,5734,0
Sep 16 18:10:36,[760795.721797],530000,530000,2498668207-2498670176,1,0,35464000,141856,5756,0
Sep 16 18:10:36,[760795.897097],1148864498,1148864498,1679145714-1679147170,1,0,35660028000,142640112,286,0
Sep 16 18:10:36,[760795.897106],1039448838,1039448838,1679147170-1679148642,1,0,32588366000,130353464,325,0
Sep 16 18:10:36,[760795.897114],1148864498,1148864498,1679148642-1679150162,1,0,35660028000,142640112,224,0
Sep 16 18:10:36,[760795.897123],1039448838,1039448838,1679150162-1679151666,1,0,32588366000,130353464,397,0
Sep 16 18:10:40,[760799.548007],1095083044,1095083044,1679151746-1679153250,1,0,34154044000,136616176,416,0
Sep 16 18:10:41,[760800.627646],530000,530000,1894743848-1894745817,1,0,35464000,141856,5752,0
Sep 16 18:10:46,[760805.416909],530000,530000,4085396142-4085398111,1,0,35464000,141856,5805,0
Sep 16 18:10:49,[760808.962800],1096039872,1096039872,1679153314-1679154786,1,0,34180900000,136723600,163,0
Sep 16 18:10:51,[760810.148020],470000,470000,3415603942-3415605911,1,0,31829250,127317,5652,0
Sep 16 18:10:55,[760814.956296],470000,470000,1451469659-1451471628,1,0,31829250,127317,5788,0
Sep 16 18:11:00,[760819.822601],530000,530000,623827918-623829887,1,0,35464000,141856,5690,0
Sep 16 18:11:05,[760824.563816],470000,470000,1717310801-1717312770,1,0,31829250,127317,5880,0
Sep 16 18:11:10,[760829.413794],530000,530000,2935119533-2935121502,1,0,35464000,141856,5754,0
Sep 16 18:11:10,[760829.460496],1041237882,1041237882,1679154850-1679156338,1,0,32638840000,130555360,155,0
Sep 16 18:11:10,[760829.460505],1150841862,1150841862,1679156338-1679157794,1,0,35715264000,142861056,148,0
Sep 16 18:11:10,[760829.460514],1041237882,1041237882,1679157794-1679159266,1,0,32638840000,130555360,2040,0
Sep 16 18:11:10,[760829.460522],1150841862,1150841862,1679159266-1679160754,1,0,35715264000,142861056,2133,0
Sep 16 18:11:15,[760834.318299],530000,530000,3824650983-3824652952,1,0,35464000,141856,5761,0
Sep 16 18:11:18,[760838.056374],1097022252,1097022252,1679160834-1679162418,1,0,34208470000,136833880,232,0
Sep 16 18:11:19,[760839.106239],470000,470000,772818193-772820162,1,0,31829250,127317,5666,0
Sep 16 18:11:24,[760843.815937],530000,530000,3106281446-3106283415,1,0,35464000,141856,5775,0
Sep 16 18:11:29,[760848.611175],470000,470000,1589369799-1589371768,1,0,31829250,127317,5687,0
Sep 16 18:11:34,[760853.446443],470000,470000,1057579024-1057580993,1,0,31829250,127317,5718,0
Sep 16 18:11:39,[760858.295860],470000,470000,1698448270-1698450239,1,0,31829250,127317,5808,0
Sep 16 18:11:42,[760861.346680],530000,530000,2089630267-2089643298,9,0,35464000,141856,1138,0
Sep 16 18:11:42,[760861.402595],530000,530000,2089654690-2089671778,12,0,35464000,141856,501114,0
Sep 16 18:11:42,[760861.454985],1000000,1000000,2089683170-2089711650,20,0,62797000,251188,890695,0
Sep 16 18:11:42,[760861.505331],1000000,1000000,2089731586-2089760066,20,0,62797000,251188,977484,0
Sep 16 18:11:42,[760861.555184],2000000,2000000,2089780002-2089838386,41,0,117183500,468734,1950359,0
Sep 16 18:11:42,[760861.603704],4000000,4000000,2089875410-2089986482,78,0,218672250,874689,3789430,0
Sep 16 18:11:42,[760861.651764],8000000,8000000,2090059106-2090282674,157,0,408057000,1632228,7790368,0
Sep 16 18:11:42,[760861.700490],16000000,16000000,2090432194-2090894994,325,0,761461250,3045845,15679100,0
Sep 16 18:11:42,[760861.748745],32000000,32000000,2091201154-2092099698,631,0,1420936750,5683747,30935206,0
Sep 16 18:11:42,[760861.797413],64000000,64000000,2092706322-2094566066,1306,0,2651562000,10606248,64655263,0
Sep 16 18:11:42,[760861.856709],128000000,128000000,2095783586-2099660048,2722,0,4947989500,19791958,119996532,0
Sep 16 18:11:42,[760861.910279],256000000,256000000,2100930306-2101644554,501,0,9233275000,36933100,21428648,0
Sep 16 18:11:42,[760861.967322],256000000,256000000,2103118394-2104019402,632,0,9233275000,36933100,27490011,0
Sep 16 18:11:42,[760862.027265],256000000,256000000,2104784474-2105123578,238,0,9233275000,36933100,8394936,0
Sep 16 18:11:43,[760862.216562],120320000,120320000,2105745674-2107273082,1072,0,4679978250,18719913,44901844,0
Sep 16 18:11:43,[760862.216581],135680000,135680000,2107273082-2107860314,412,0,5214396500,20857586,10384409,0
Sep 16 18:11:43,[760862.216594],135680000,135680000,2107860314-2109330778,1032,0,5214396500,20857586,38374931,0
Sep 16 18:11:43,[760862.216608],120320000,120320000,2109330778-2110359434,722,0,4679978250,18719913,24894743,0
Sep 16 18:11:43,[760862.287845],128062500,128062500,2110471050-2111769194,911,0,4950163750,19800655,33698669,0
Sep 16 18:11:43,[760862.491836],121659375,121659375,2112474074-2113781002,917,0,4726839000,18907356,34079966,0
Sep 16 18:11:43,[760862.491855],134465625,134465625,2113781002-2114076074,207,0,5172374250,20689497,7118280,0
Sep 16 18:11:43,[760862.491867],134465625,134465625,2114076074-2115293594,855,0,5172374250,20689497,24048352,0
Sep 16 18:11:43,[760862.491881],121659375,121659375,2115293594-2116382954,765,0,4726839000,18907356,33897376,0
Sep 16 18:11:43,[760862.575565],128132080,128132080,2116669002-2117664554,699,0,4952584500,19810338,23891126,0
Sep 16 18:11:43,[760862.771594],134538680,134538680,2117708074-2118241274,374,0,5174903500,20699614,14526252,0
Sep 16 18:11:43,[760862.771615],121725480,121725480,2118241274-2119289850,736,0,4729150750,18916603,27423308,0
Sep 16 18:11:43,[760862.771628],134538680,134538680,2119289850-2119779194,343,0,5174903500,20699614,12986413,0
Sep 16 18:11:43,[760862.771641],121725480,121725480,2119779194-2120868554,765,0,4729150750,18916603,26216157,0
Sep 16 18:11:43,[760862.860319],128236444,128236444,2121200538-2122093466,627,0,4956214750,19824859,23238541,0
Sep 16 18:11:43,[760862.873368],470000,470000,1970696690-1970698659,1,0,31829250,127317,5748,0
Sep 16 18:11:43,[760862.941207],128375940,128375940,2122714010-2123594650,618,0,4961066500,19844266,22952765,0
Sep 16 18:11:43,[760863.010648],128549840,128549840,2124108154-2125283706,825,0,4967114750,19868459,30653620,0
Sep 16 18:11:43,[760863.087726],128758520,128758520,2125482314-2126445946,676,0,4974371000,19897484,27554715,0
Sep 16 18:11:44,[760863.145249],129001924,129001924,2126635754-2127626986,696,0,4982833500,19931334,25899027,0
